Feature,RF_Importance,MI_Importance,p_value,t_statistic,truthful_mean,deceitful_mean,difference,effect_size,RF_Importance_norm,MI_Importance_norm,effect_size_norm,combined_score
avg_accel_change,0.02902301582120729,0.06852179516908308,3.940609451649628e-08,5.610887630301607,0.19006001159492159,-0.20826935402317745,-0.39832936561809906,0.4154962207507448,0.8354649901832865,1.0,0.8980850310540293,0.9111833404124385
velocity_std,0.027647091753848056,0.04617604964476585,3.2797510226534796e-09,6.060757594684947,0.20476985690164612,-0.22438852582635468,-0.4291583827280008,0.44898488552320437,0.7958572390622173,0.6738884982628185,0.970469969929742,0.8134052357515925
acceleration_std,0.03473875765259792,0.024004201068505315,5.171905782919374e-09,5.984764775348926,0.2020471573365002,-0.22140496881784152,-0.4234521261543417,0.4430298337519789,1.0,0.35031483062101637,0.9575982695681214,0.7693043667297127
max_velocity,0.030990307438775247,0.022196843804657806,1.1425641678506957e-09,6.247883439083014,0.21062270673667324,-0.23080212774138445,-0.4414248344780577,0.4626468612477612,0.8920960199179043,0.32393844542288036,1.0,0.7386781551135949
movement_smoothness,0.028575299704450143,0.020729234876174507,8.523346652304628e-09,-5.832183959694825,-0.20324217427974817,0.22271447840235634,0.4259566526821045,0.4389170165531815,0.8225769035903664,0.30252031233308235,0.9487085146744967,0.6912685768659818
jerk_std,0.026771096890183324,0.020229969409212067,2.4142393458260755e-09,6.1006405627017655,0.20687367840922413,-0.22669391107118564,-0.43356758948040974,0.45292164956568937,0.770640595668546,0.29523408368524173,0.9789791901844035,0.6816179565127305
mean_acceleration,0.011653322349364061,0.04579790258174499,5.759000416638983e-08,-5.541335989809766,-0.18766312055018852,0.2056428207226616,0.3933059412728501,0.4101881007531199,0.33545593270496743,0.6683698590898699,0.886611658072942,0.6301458166225931
avg_velocity_change,0.018978741898172245,0.03535689870503811,1.0217249935751329e-05,4.4520431005412515,0.15497208557057354,-0.16981971053541914,-0.3247917961059927,0.33318357531146164,0.5463275943246902,0.5159949271292746,0.7201682389303661,0.594163586794777
max_acceleration,0.024013080191385584,0.03411249164887731,0.0012300540153890593,3.247324868002722,0.114002843812092,-0.12492527196175329,-0.2389281157738453,0.2433169449494766,0.6912475233434198,0.4978341791061074,0.525923691113454,0.5716684645209938
metric_direction_changes,0.020076186293148626,0.04195230772711689,0.0016989755040950638,3.150641988631886,0.1123465364459167,-0.12311027646468727,-0.23545681291060397,0.2379246743697054,0.5779189484528742,0.6122476450536092,0.5142684286845073,0.5681450073969968
